"";"Sample";"Description";"matName";"batch";"color"
"2";"GSM1784988";"GDM";"GDM_R17";1;"#FFCC99"
"4";"GSM1784990";"Normal";"normal_R35";1;"#99CCFF"
"6";"GSM1784993";"Normal";"normal_R18";1;"#99CCFF"
"7";"GSM1784994";"GDM";"GDM_R27";1;"#FFCC99"
"9";"GSM1784996";"GDM";"GDM_R50";1;"#FFCC99"
"14";"GSM1785001";"Normal";"normal_R28";1;"#99CCFF"
"16";"GSM1785004";"Normal";"normal_R8";1;"#99CCFF"
"17";"GSM1785005";"Normal";"normal_R44";1;"#99CCFF"
"20";"GSM1785008";"GDM";"GDM_R9";1;"#FFCC99"
"21";"GSM1785009";"GDM";"GDM_R20";1;"#FFCC99"
"22";"GSM1785011";"GDM";"GDM_R29";1;"#FFCC99"
"23";"GSM1785012";"GDM";"GDM_R51";1;"#FFCC99"
"24";"GSM1785013";"Normal";"normal_R16";1;"#99CCFF"
"31";"GSM1785021";"Normal";"normal_R52";1;"#99CCFF"
"32";"GSM1785022";"Normal";"normal_R12";1;"#99CCFF"
"37";"GSM1785028";"Normal";"normal_R15";1;"#99CCFF"
"43";"GSM1785035";"Normal";"normal_R31";1;"#99CCFF"
"46";"GSM1785038";"Normal";"normal_R47";1;"#99CCFF"
"47";"GSM1785039";"GDM";"GDM_R55";1;"#FFCC99"
"49";"GSM1785041";"GDM";"GDM_R14";1;"#FFCC99"
"50";"GSM1785042";"GDM";"GDM_R22";1;"#FFCC99"
"59";"GSM1785053";"Normal";"normal_R48";1;"#99CCFF"
"11";"GSM490136";"GDM";"GDM_R01";2;"#FFCC99"
"25";"GSM490137";"Normal";"Normal_R02";2;"#99CCFF"
